"Group","Point","Longitude","Latitude","buffer_id","Sealed_Index","Vegetation_Index","Water_Index"
1,1,18.561391,54.4104219,"11",0,100,0
1,2,18.5661117,54.4107684,"12",0,100,0
1,3,18.568279,54.4095009,"13",100,0,0
1,4,18.5640303,54.4073154,"14",64.2857142857143,35.7142857142857,0
1,5,18.5595886,54.4078899,"15",83.3333333333333,16.6666666666667,0
1,6,18.5551312,54.4105004,"16",30,70,0
2,1,18.5614242,54.4112149,"21",0,100,0
2,2,18.5588715,54.4140652,"22",69.2307692307692,30.7692307692308,0
2,3,18.5551807,54.4151203,"23",85.7142857142857,14.2857142857143,0
2,4,18.5571012,54.4123794,"24",38.4615384615385,61.5384615384615,0
2,5,18.5535369,54.4116774,"25",0,100,0
2,6,18.5577384,54.4113153,"26",36.3636363636364,63.6363636363636,0
3,1,18.5599486,54.4097231,"31",0,100,0
3,2,18.5514674,54.4099041,"32",0,100,0
3,3,18.5470471,54.4072441,"33",0,100,0
3,4,18.5534844,54.4083618,"34",85.7142857142857,14.2857142857143,0
3,5,18.5524115,54.4068194,"35",100,0,0
3,6,18.557218,54.4086678,"36",100,0,0
4,1,18.5636299,54.4116611,"41",30.7692307692308,69.2307692307692,0
4,2,18.5599607,54.4127288,"42",7.69230769230769,92.3076923076923,0
4,3,18.5659796,54.4140649,"43",100,0,0
4,4,18.5669237,54.4133406,"44",0,91.6666666666667,8.33333333333333
4,5,18.5699063,54.4116549,"45",90.9090909090909,9.09090909090909,0
4,6,18.5627824,54.4087015,"46",81.8181818181818,18.1818181818182,0
5,1,18.5626825,54.4099198,"51",0,100,0
5,2,18.5658583,54.4089582,"52",92.8571428571429,7.14285714285714,0
5,3,18.5696348,54.4065604,"53",100,0,0
5,4,18.5670599,54.4052989,"54",100,0,0
5,5,18.5634121,54.4054238,"55",100,0,0
5,6,18.5589543,54.4044934,"56",0,100,0
